name	0	CUDA 0
cnt_submitted	146.217389000	1
cnt_ready	146.238436000	1
cnt_ready	146.273542000	0
cnt_submitted	146.273542000	0
0	273.492604000	127.339316000	127.206380000	0.073995000
cnt_submitted	273.541703000	1
cnt_ready	273.544546000	1
cnt_ready	273.547221000	0
cnt_submitted	273.547221000	0
cnt_submitted	273.661886000	1
cnt_ready	273.725107000	1
cnt_ready	273.737508000	0
cnt_submitted	273.737508000	0
cnt_submitted	296.296225000	1
cnt_ready	296.298679000	1
cnt_ready	296.321026000	0
cnt_submitted	296.321026000	0
cnt_submitted	318.558227000	1
cnt_ready	318.560776000	1
cnt_ready	318.572738000	0
cnt_submitted	318.572738000	0
cnt_submitted	817.297472000	1
cnt_ready	817.361306000	1
cnt_ready	817.366795000	0
cnt_submitted	817.366795000	0
0	817.367965000	543.875361000	67.014678000	476.770089000
cnt_submitted	817.371863000	1
cnt_ready	817.376043000	1
cnt_submitted	817.379134000	2
cnt_ready	817.383755000	2
cnt_submitted	817.387596000	3
cnt_ready	817.388590000	3
cnt_submitted	817.391975000	4
cnt_ready	817.393026000	4
cnt_submitted	817.395624000	5
cnt_ready	817.396521000	5
cnt_submitted	817.405152000	6
cnt_ready	817.406143000	6
cnt_submitted	817.410533000	7
cnt_ready	817.411438000	7
cnt_submitted	817.414732000	8
cnt_ready	817.415891000	8
cnt_submitted	817.418351000	9
cnt_ready	817.419225000	9
cnt_submitted	817.422421000	10
cnt_ready	817.423315000	10
cnt_submitted	817.426729000	11
cnt_ready	817.427622000	11
cnt_submitted	817.431057000	12
cnt_ready	817.432029000	12
cnt_submitted	817.435361000	13
cnt_ready	817.436235000	13
cnt_submitted	817.439485000	14
cnt_ready	817.440445000	14
cnt_submitted	817.443708000	15
cnt_ready	817.444644000	15
cnt_ready	856.587554000	14
cnt_submitted	856.587554000	14
0	1096.129270000	278.761305000	239.630860000	0.000000000
cnt_ready	1096.172869000	13
cnt_submitted	1096.172869000	13
0	1335.682460000	239.553190000	239.530875000	0.000000000
cnt_ready	1335.732582000	12
cnt_submitted	1335.732582000	12
0	1575.277295000	239.594835000	239.574748000	0.000000000
cnt_ready	1575.345850000	11
cnt_submitted	1575.345850000	11
0	1814.871632000	239.594337000	239.559684000	0.000000000
cnt_ready	1814.901494000	10
cnt_submitted	1814.901494000	10
0	2054.459103000	239.587471000	239.574294000	0.000000000
cnt_ready	2054.485129000	9
cnt_submitted	2054.485129000	9
0	2294.007029000	239.547926000	239.536974000	0.000000000
cnt_ready	2294.033941000	8
cnt_submitted	2294.033941000	8
0	2533.544683000	239.537654000	239.526833000	0.000000000
cnt_ready	2533.568117000	7
cnt_submitted	2533.568117000	7
0	2773.148585000	239.603902000	239.594135000	0.000000000
cnt_ready	2773.436728000	6
cnt_submitted	2773.436728000	6
0	3012.607126000	239.458541000	239.350719000	0.000000000
cnt_ready	3012.660139000	5
cnt_submitted	3012.660139000	5
0	3252.146683000	239.539557000	239.518331000	0.000000000
cnt_ready	3252.172682000	4
cnt_submitted	3252.172682000	4
0	3491.688205000	239.541522000	239.530444000	0.000000000
cnt_ready	3491.711721000	3
cnt_submitted	3491.711721000	3
0	3731.271826000	239.583621000	239.573801000	0.000000000
cnt_ready	3731.297207000	2
cnt_submitted	3731.297207000	2
0	3970.828532000	239.556706000	239.546179000	0.000000000
cnt_ready	3970.876076000	1
cnt_submitted	3970.876076000	1
0	4210.392414000	239.563882000	239.545537000	0.000000000
cnt_ready	4210.451495000	0
cnt_submitted	4210.451495000	0
0	4449.949235000	239.556821000	239.533545000	0.000000000
0	4689.565428000	239.616193000	239.596407000	0.000000000
cnt_submitted	4689.631126000	1
cnt_ready	4689.635733000	1
cnt_ready	4689.639869000	0
cnt_submitted	4689.639869000	0
cnt_submitted	4689.644306000	1
cnt_ready	4689.645909000	1
cnt_submitted	4689.650401000	2
cnt_ready	4689.651755000	2
cnt_submitted	4689.655592000	3
cnt_ready	4689.656871000	3
cnt_submitted	4689.660043000	4
cnt_ready	4689.661665000	4
cnt_submitted	4689.664723000	5
cnt_ready	4689.666161000	5
cnt_submitted	4689.669462000	6
cnt_ready	4689.670671000	6
cnt_submitted	4689.674043000	7
cnt_ready	4689.675215000	7
cnt_submitted	4689.678332000	8
cnt_ready	4689.679639000	8
cnt_submitted	4689.682492000	9
cnt_ready	4689.683904000	9
cnt_submitted	4689.686860000	10
cnt_ready	4689.687172000	8
cnt_submitted	4689.687172000	9
cnt_ready	4689.688403000	9
cnt_submitted	4689.691676000	10
cnt_ready	4689.692942000	10
cnt_submitted	4689.696150000	11
cnt_ready	4689.697476000	11
cnt_submitted	4689.700318000	12
cnt_ready	4689.701587000	12
cnt_submitted	4689.704425000	13
cnt_ready	4689.718720000	13
cnt_submitted	4689.721644000	14
cnt_ready	4689.722829000	14
0	4929.271449000	239.706021000	239.626814000	0.050459000
cnt_ready	4929.300572000	13
cnt_submitted	4929.300572000	13
0	5168.845705000	239.574256000	239.563177000	0.000000000
cnt_ready	5168.872075000	12
cnt_submitted	5168.872075000	12
0	5408.434428000	239.588723000	239.578332000	0.000000000
cnt_ready	5408.507077000	11
cnt_submitted	5408.507077000	11
0	5647.984711000	239.550283000	239.521314000	0.000000000
cnt_ready	5648.041596000	10
cnt_submitted	5648.041596000	10
0	5887.566470000	239.581759000	239.558606000	0.000000000
cnt_ready	5887.593591000	9
cnt_submitted	5887.593591000	9
0	6127.123598000	239.557128000	239.545713000	0.000000000
cnt_ready	6127.147720000	8
cnt_submitted	6127.147720000	8
0	6366.706830000	239.583232000	239.573715000	0.000000000
cnt_ready	6366.728766000	7
cnt_submitted	6366.728766000	7
0	6606.248391000	239.541561000	239.532924000	0.000000000
cnt_ready	6606.295276000	6
cnt_submitted	6606.295276000	6
0	6845.816271000	239.567880000	239.549717000	0.000000000
cnt_ready	6845.881394000	5
cnt_submitted	6845.881394000	5
0	7085.362814000	239.546543000	239.522400000	0.000000000
cnt_ready	7085.416805000	4
cnt_submitted	7085.416805000	4
0	7324.913715000	239.550901000	239.529003000	0.000000000
cnt_ready	7324.940049000	3
cnt_submitted	7324.940049000	3
0	7564.435053000	239.521338000	239.510679000	0.000000000
cnt_ready	7564.458126000	2
cnt_submitted	7564.458126000	2
0	7803.973053000	239.538000000	239.528674000	0.000000000
cnt_ready	7803.996559000	1
cnt_submitted	7803.996559000	1
0	8043.545071000	239.572018000	239.562917000	0.000000000
cnt_ready	8043.625715000	0
cnt_submitted	8043.625715000	0
0	8283.085144000	239.540073000	239.510550000	0.000000000
0	8522.594087000	239.508943000	239.487088000	0.000000000
cnt_submitted	8522.657048000	1
cnt_ready	8522.661634000	1
cnt_ready	8522.666525000	0
cnt_submitted	8522.666525000	0
cnt_submitted	8522.669320000	1
cnt_ready	8522.671566000	1
cnt_submitted	8522.675360000	2
cnt_ready	8522.676703000	2
cnt_submitted	8522.679778000	3
cnt_ready	8522.681150000	3
cnt_submitted	8522.684475000	4
cnt_ready	8522.686195000	4
cnt_submitted	8522.689334000	5
cnt_ready	8522.690673000	5
cnt_submitted	8522.693610000	6
cnt_ready	8522.694936000	6
cnt_submitted	8522.697962000	7
cnt_ready	8522.699288000	7
